Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
TCGA.F4.6461	0.34107482434984	0	0.0071395229431151	0.019042330854241	0	0.15758980488653	0	0.12210750804876	0.0054403832990667	0	0.016058324072743	0	0	0.18584219337948	0.038857992174955	0.095557102025357	0	0	0.011290013965917	0	0	0	0.041	0.15524185028830845	0.9869863107388164
TCGA.A6.6653	0.016574182065212	0	0	0	0	0.20991357050401	0	0.040889859789769	0.073604946154844	0	0.066151316712831	0.0021894556295114	0	0.44728051216385	0.042697795129798	0.052257189911681	0	0	0	0.048441171938494	0	0	0.111	0.10825958223741988	0.9939784142322217
TCGA.A6.A56B	0.0091173998451492	0	0.011850042036602	0	0	0.23480122716867	0	0.034450261370838	0.040262919065709	0	0.079104189894159	0.022758531324844	0	0.40139700211085	0.010924680959453	0.078843436991303	0.021828787036273	0	0	0.02320703855974	0.031454483636406	0	0.234	0.07053817618785342	0.9965450617531203
TCGA.D5.6532	0	0	0.23225945160539	0.087881344040184	0	0.10215853781694	0.093345620565251	0.034788243949012	0.037676722118712	0	0.018889583699967	0.02068519445371	0.03232210744442	0.15433293553491	0.077626293396354	0.086314194613079	0	0	0.021719770762078	0	0	0	0.833	-0.0142	1.0015134596317334
TCGA.AD.6963	0	0.010674953134224	0	0.23508502821955	0	0.09263891672213	0.080037091210189	0.092959749624294	0.036001784470571	0	0.070381628476842	0	0.0004	0.098908472395272	0.10039941790347	0.062958516892054	0.0026156488911563	0	0	0.059363491325761	0	0.057551168642947	0.21	0.07617621875067039	1.0011554088866401
TCGA.A6.6138	0.049931609701454	0	0.0097679930342865	0.056154180307535	0	0.14968670585617	0	0.079373012445724	0.07589607962315	0	0.073391618996458	0	0.003398400922442	0.21756249605426	0.1485114753346	0.12438835098917	0	0	0.011938076734756	0	0	0	0.007	0.2615807706585298	0.9644100094460223
TCGA.AA.3655	0	0	0.038409461774003	0	0	0.24633369478697	0	0.056026375627799	0.10543295965945	0	0.034590672782986	0	0.013647853446355	0.19846532037239	0.095399777916456	0.16742779912369	0	0.020405162549607	0.0018343347760785	0.022026587184205	0	0	0.262	0.06157854645163732	0.9979084689026635
TCGA.DM.A1D7	0.0043528781754818	0	0.045217839657136	0.041730270961034	0	0.1784490115063	0	0.10975382979657	0.12289074500052	0	0.082843987615307	0	0.02351470019878	0.10530616219332	0.027435928623236	0.16123807246662	0	0.015975949431575	0	0.081290624374114	0	0	0.662	0.007976209174840867	1.00136518138733
TCGA.AY.6386	0.0099895850437594	0	0.097950630637673	0	0	0.16665296375453	0	0.05477813014484	0.055174444342604	0	0.10600483843863	0	0	0.32124294546361	0.017509763153873	0.067035495208223	0	0.0031395347529905	0	0.090394335023342	0	0.010127334035926	0.13	0.09879624083302263	0.9962265261889786
TCGA.DM.A280	0.019696478577821	0	0.059623854813629	0.0032995115973191	0	0.12929230836575	0	0	0.050902195869395	0	0.025841619666722	0.0221337618482	0	0.38179552393009	0	0.11708832069256	0	0.051496066597319	0	0.080932060827537	0	0.057898297213662	0.607	0.01493048645086824	1.0028348634235233
TCGA.AD.6965	0.042723677732381	0	0.029878588220682	0.06677285925091	0	0.092452483602386	0	0.11099763599141	0.024632208489382	0	0.076173678955182	0.014507500274538	0	0.30675055371816	0.022944764405516	0.17925200832749	0	0	0	0.024326460464893	0.0085875805670757	0	0.569	0.019595780063533796	1.0015767855398998
TCGA.A6.4105	0.030437588278333	0	0.016303596060733	0.069477450695381	0	0.18335583066657	0.040968151774458	0.10986363534065	0.0009	0	0.086222055754788	0	0	0.09390652317289	0.10129628677083	0.2395742193867	0	0	0	0.0081714497577755	0	0.01951264194972	0.06	0.1385129287960383	0.9907043866993575
TCGA.AD.A5EK	0.13526998902895	0	0.10292466487452	0.016223859614023	0	0.1655784107131	0	0.11311981482096	0.117722370065	0	0.049766015264327	0.0072083958239334	0.028280983431503	0.14604838782464	0	0.06922003684885	0	0.019104224122621	0	0.029532847567576	0	0	0.536	0.023485485460758588	0.9995039088543711
TCGA.D5.5538	0	0.006469081587401	0.012862968163934	0	0	0.096387389393024	0	0.070559498295417	0.040107121132772	0	0.023708342975734	0	0	0.36596654639572	0.0753744751818	0.25179303881786	0.0005	0	0	0.039226220118704	0	0.01704617999508	0.006	0.28236125245933946	0.9600459570790428
