gsm.name col.name
GSM820048 col001
GSM820049 col002
GSM820050 col003
GSM820051 col004
GSM820052 col005
GSM820053 col006
GSM820054 col007
GSM820055 col008
GSM820056 col009
GSM820057 col010
GSM820058 col011
GSM820059 col012
GSM820060 col013
GSM820061 col014
GSM820062 col015
GSM820063 col016
GSM820064 col017
GSM820065 col018
GSM820066 col019
GSM820067 col020
GSM820068 col021
GSM820069 col022
GSM820070 col023
GSM820071 col024
GSM820072 col026
GSM820073 col033
GSM820074 col034
GSM820075 col035
GSM820076 col036
GSM820077 col037
GSM820078 col038
GSM820079 col039
GSM820080 col040
GSM820081 col041
GSM820082 col044
GSM820083 col045
GSM820084 col046
GSM820085 col047
GSM820086 col048
GSM820087 col049
GSM820088 col050
GSM820089 col051
GSM820090 col052
GSM820091 col053
GSM820092 col054
GSM820093 col055
GSM820094 col056
GSM820095 col057
GSM820096 col058
GSM820097 col059
GSM820098 col060
GSM820099 col061
GSM820100 col062
GSM820101 col063
GSM820102 col064
GSM820103 col065
GSM820104 col066
GSM820105 col067
GSM820106 col068
GSM820107 col069
GSM820108 col070
GSM820109 col072
GSM820110 col073
GSM820111 col074
GSM820112 col075
GSM820113 col076
GSM820114 col077
GSM820115 col078
GSM820116 col079
GSM820117 col080
GSM820118 col081
GSM820119 col082
GSM820120 col083
GSM820121 col084
GSM820122 col085
GSM820123 col086
GSM820124 col089
GSM820125 col090
GSM820126 col091
GSM820127 col092
GSM820128 col093
GSM820129 col094
GSM820130 col095
GSM820131 col096
GSM820132 col097
GSM820133 col098
GSM820134 col099
GSM820135 col100
GSM820136 col101
GSM820137 col102
