CellType	Symbol	AffymetrixID	entrez
B cells	MS4A1	217418_x_at	931
B cells	TCL1A	209995_s_at	8115
B cells	MS4A1	210356_x_at	931
B cells	TCL1A	39318_at	8115
B cells	HLA-DOB	205671_s_at	3112
B cells	PNOC	205901_at	5368
B cells	KIAA0125	206478_at	9834
B cells	CD19	206398_s_at	930
B cells	CR2	205544_s_at	1380
B cells	IGHG1	213674_x_at	3500
B cells	FCRL2	221239_s_at	79368
B cells	BLK	206255_at	640
B cells	IGHG1	222285_at	3500
B cells	COCH	205229_s_at	1690
B cells	OSBPL10	219073_s_at	114884
B cells	IGHA1	215118_s_at	3493
B cells	TNFRSF17	206641_at	608
B cells	ABCB4	207819_s_at	5244
B cells	BLNK	207655_s_at	29760
B cells	GLDC	204836_at	2731
B cells	MEF2C	209200_at	4208
B cells	MEF2C	209199_s_at	4208
B cells	IGHM	209374_s_at	3507
B cells	FAM30A	220377_at	29064
B cells	SPIB	205861_at	6689
B cells	BCL11A	219497_s_at	53335
B cells	GNG7	206896_s_at	2788
B cells	IGKC	215217_at	3514
B cells	CD72	215925_s_at	971
B cells	MICAL3	212715_s_at	57553
B cells	BCL11A	210347_s_at	53335
B cells	BACH2	221234_s_at	60468
B cells	IGL@	217138_x_at	3535
B cells	CCR9	207445_s_at	10803
B cells	QRSL1	218948_at	55278
B cells	DTNB	215565_at	1838
B cells	HLA-DQA1	212671_s_at	3117
B cells	SCN3A	210432_s_at	6328
B cells	QRSL1	218949_s_at	55278
B cells	SLC15A2	205316_at	6565
T cells	PRKCQ	210038_at	5588
T cells	CD3D	213539_at	915
T cells	CD3G	206804_at	917
T cells	CD28	206545_at	940
T cells	LCK	204891_s_at	3932
T cells	TRAT1	217147_s_at	50852
T cells	PRKCQ	210039_s_at	5588
T cells	BCL11B	219528_s_at	64919
T cells	CD2	205831_at	914
T cells	LCK	204890_s_at	3932
T cells	TRBC1	213193_x_at	28639
T cells	TRBC1	210915_x_at	28639
T cells	TRA@	209670_at	28755
T cells	ITM2A	202747_s_at	9452
T cells	SH2D1A	210116_at	4068
T cells	CD6	213958_at	923
T cells	CD96	206761_at	10225
T cells	NCALD	211685_s_at	83988
T cells	GIMAP5	218805_at	55340
T cells	TRA@	209671_x_at	6955
T cells	CD3E	205456_at	916
T cells	SKAP1	205790_at	8631
T cells	TRA@	213830_at	6955
T cells	TRA@	216191_s_at	6955
T helper cells	ICOS	210439_at	29851
T helper cells	LRBA	214109_at	987
T helper cells	ITM2A	202746_at	9452
T helper cells	FAM111A	218248_at	63901
T helper cells	PHF10	219126_at	55274
T helper cells	NUP107	218768_at	57122
T helper cells	SEC24C	202361_at	9632
T helper cells	NAP1L4	201414_s_at	4676
T helper cells	BATF	205965_at	10538
T helper cells	ASF1A	203428_s_at	25842
T helper cells	FRYL	212546_s_at	
T helper cells	FUSIP1	213594_x_at	10772
T helper cells	TRA@	215524_x_at	10730
T helper cells	TRA@	217412_at	6955
T helper cells	RPA1	201528_at	6117
T helper cells	UBE2L3	200683_s_at	7332
T helper cells	ANP32B	201306_s_at	10541
T helper cells	DDX50	221699_s_at	79009
T helper cells	C13orf34	219544_at	79866
T helper cells	PPP2R5C	213305_s_at	5527
T helper cells	SLC25A12	203340_s_at	8604
T helper cells	ATF2	205446_s_at	1386
T helper cells	CD28	211856_x_at	940
T helper cells	GOLGA8A	208798_x_at	23015
Tcm	CDC14A	210441_at	8556
Tcm	ATM	208442_s_at	472
Tcm	USP9Y	206624_at	8287
Tcm	PCNX	215175_at	22990
Tcm	ATM	210858_x_at	472
Tcm	FOXP1	215221_at	27086
Tcm	KLF12	206965_at	11278
Tcm	ST3GAL1	215874_at	6482
Tcm	INPP4B	215864_at	8821
Tcm	CASP8	207686_s_at	841
Tcm	MLL	216624_s_at	4297
Tcm	PCM1	209997_x_at	5108
Tcm	RP11-74E24.2	205787_x_at	441155
Tcm	PHC3	215521_at	80012
Tcm	NFATC3	210556_at	4775
Tcm	LOC202134	215133_s_at	202134
Tcm	TIMM8A	210800_at	1678
Tcm	ATF7IP	216197_at	55729
Tcm	REPS1	215201_at	85021
Tcm	PSPC1	215083_at	55269
Tcm	RPP38	215743_at	9397
Tcm	HNRPH1	213472_at	3187
Tcm	STX16	221638_s_at	8675
Tcm	CYLD	214272_at	1540
Tcm	SNRPN	216850_at	6638
Tcm	TRAF3IP3	215275_at	80342
Tcm	NEFL	221805_at	4747
Tcm	POLR2J2	217610_at	246721
Tcm	AQP3	203747_at	360
Tcm	CG030	215105_at	116828
Tcm	PDXDC2	215920_s_at	283970
Tcm	CLUAP1	204576_s_at	23059
Tcm	DOCK9	215041_s_at	23348
Tcm	CYorf15B	214131_at	84663
Tcm	CREBZF	213584_s_at	58487
Tcm	CEP68	207971_s_at	23177
Tcm	TXK	206828_at	7294
Tcm	SLC7A6	203578_s_at	9057
Tcm	FYB	205285_s_at	2533
Tcm	MAP3K1	214786_at	4214
Tem	TRA@	217397_at	6955
Tem	PRKY	206279_at	5616
Tem	VIL2	217230_at	7430
Tem	GDPD5	32502_at	81544
Tem	CCR2	206978_at	1231
Tem	MEFV	208262_x_at	4210
Tem	C7orf54	210109_at	27099
Tem	FLI1	210786_s_at	2313
Tem	TBC1D5	201815_s_at	9779
Tem	DDX17	208719_s_at	
Tem	AKT3	212609_s_at	10000
Tem	EWSR1	211825_s_at	2130
Tem	TBCD	201759_at	6904
Tem	CCR2	207794_at	1231
Tem	NFATC4	205897_at	4776
Tem	LTK	207106_s_at	4058
Th1 cells	IFNG	210354_at	3458
Th1 cells	LTA	206975_at	4049
Th1 cells	APBB2	213419_at	323
Th1 cells	DOK5	214844_s_at	55816
Th1 cells	IL12RB2	206999_at	3595
Th1 cells	APBB2	40148_at	323
Th1 cells	APOD	201525_at	347
Th1 cells	ZBTB32	220118_at	27033
Th1 cells	CD38	205692_s_at	952
Th1 cells	CSF2	210229_s_at	1437
Th1 cells	CTLA4	221331_x_at	1493
Th1 cells	CD70	206508_at	970
Th1 cells	DPP4	211478_s_at	1803
Th1 cells	EGFL6	219454_at	25975
Th1 cells	BST2	201641_at	684
Th1 cells	DUSP5	209457_at	1847
Th1 cells	LRP8	205282_at	7804
Th1 cells	IL22	221165_s_at	50616
Th1 cells	DGKI	206806_at	9162
Th1 cells	CCL4	204103_at	6351
Th1 cells	DPP4	203716_s_at	1803
Th1 cells	GGT1	211417_x_at	2678
Th1 cells	LRRN3	209840_s_at	54674
Th1 cells	SYNGR3	205691_at	9143
Th1 cells	ATP9A	212062_at	10079
Th1 cells	BTG3	205548_s_at	10950
Th1 cells	CMAH	210571_s_at	8418
Th1 cells	HBEGF	38037_at	1839
Th1 cells	SGCB	205120_s_at	6443
Th2 cells	PMCH	206942_s_at	5367
Th2 cells	AHI1	220841_s_at	54806
Th2 cells	PTGIS	208131_s_at	5740
Th2 cells	AHI1	220842_at	54806
Th2 cells	CXCR6	211469_s_at	10663
Th2 cells	EVI5	209717_at	7813
Th2 cells	AHI1	221569_at	54806
Th2 cells	IL26	221111_at	55801
Th2 cells	MB	204179_at	4151
Th2 cells	NEIL3	219502_at	55247
Th2 cells	GSTA4	202967_at	2941
Th2 cells	PHEX	210617_at	5251
Th2 cells	SMAD2	203076_s_at	4087
Th2 cells	CENPF	209172_s_at	1063
Th2 cells	ANK1	208353_x_at	286
Th2 cells	ADCY1	213245_at	107
