Composite.Element.Name	Composite.Element.Database.Entry[hugo]
AFFX-BioB-5_at	
AFFX-BioB-M_at	
AFFX-BioB-3_at	
AFFX-BioC-5_at	
AFFX-BioC-3_at	
AFFX-BioDn-5_at	
AFFX-BioDn-3_at	
AFFX-CreX-5_at	
AFFX-CreX-3_at	
AFFX-DapX-5_at	
AFFX-DapX-M_at	
AFFX-DapX-3_at	
AFFX-LysX-5_at	
AFFX-LysX-M_at	
AFFX-LysX-3_at	
AFFX-PheX-5_at	
AFFX-PheX-M_at	
AFFX-PheX-3_at	
AFFX-ThrX-5_at	
AFFX-ThrX-M_at	
AFFX-ThrX-3_at	
AFFX-TrpnX-5_at	
AFFX-TrpnX-M_at	
AFFX-TrpnX-3_at	
AFFX-r2-Ec-bioB-5_at	
AFFX-r2-Ec-bioB-M_at	
AFFX-r2-Ec-bioB-3_at	
AFFX-r2-Ec-bioC-5_at	
AFFX-r2-Ec-bioC-3_at	
AFFX-r2-Ec-bioD-5_at	
AFFX-r2-Ec-bioD-3_at	
AFFX-r2-P1-cre-5_at	
AFFX-r2-P1-cre-3_at	
AFFX-r2-Bs-dap-5_at	
AFFX-r2-Bs-dap-M_at	
AFFX-r2-Bs-dap-3_at	
AFFX-r2-Bs-lys-5_at	
AFFX-r2-Bs-lys-M_at	
AFFX-r2-Bs-lys-3_at	
AFFX-r2-Bs-phe-5_at	
AFFX-r2-Bs-phe-M_at	
AFFX-r2-Bs-phe-3_at	
AFFX-r2-Bs-thr-5_s_at	
AFFX-r2-Bs-thr-M_s_at	
AFFX-r2-Bs-thr-3_s_at	
AFFX-HUMISGF3A/M97935_5_at	STAT1
AFFX-HUMISGF3A/M97935_MA_at	STAT1
AFFX-HUMISGF3A/M97935_MB_at	STAT1
AFFX-HUMISGF3A/M97935_3_at	STAT1
AFFX-HUMRGE/M10098_5_at	LOC100008588
AFFX-HUMRGE/M10098_M_at	LOC100008588
AFFX-HUMRGE/M10098_3_at	LOC100008588
AFFX-HUMGAPDH/M33197_5_at	GAPDH
AFFX-HUMGAPDH/M33197_M_at	GAPDH
AFFX-HUMGAPDH/M33197_3_at	GAPDH
AFFX-HSAC07/X00351_5_at	ACTB
AFFX-HSAC07/X00351_M_at	ACTB
AFFX-HSAC07/X00351_3_at	ACTB
AFFX-M27830_5_at	LOC100008589
AFFX-M27830_M_at	
AFFX-M27830_3_at	
AFFX-hum_alu_at	CCL5
200000_s_at	PRPF8
200001_at	CAPNS1
200002_at	RPL35
200003_s_at	RPL28
200004_at	EIF4G2
200005_at	EIF3D
200006_at	PARK7
200007_at	SRP14
200008_s_at	GDI2
200009_at	GDI2
200010_at	RPL11
200011_s_at	ARF3
200012_x_at	RPL21
200013_at	RPL24
200014_s_at	HNRNPC
200015_s_at	SEPT2
200016_x_at	HNRNPA1
200017_at	RPS27A
200018_at	RPS13
200019_s_at	FAU
200020_at	TARDBP
200021_at	CFL1
200022_at	RPL18
200023_s_at	EIF3F
200024_at	RPS5
200025_s_at	RPL27
200026_at	RPL34
200027_at	NARS
200028_s_at	STARD7
200029_at	RPL19
200030_s_at	SLC25A3
200031_s_at	RPS11
200032_s_at	RPL9
200033_at	DDX5
200034_s_at	RPL6
200035_at	DULLARD
200036_s_at	RPL10A
200037_s_at	CBX3
200038_s_at	RPL17
200039_s_at	PSMB2
200040_at	KHDRBS1
200041_s_at	BAT1
200042_at	C22orf28
200043_at	ERH
200044_at	SFRS9
200045_at	ABCF1
200046_at	DAD1
200047_s_at	YY1
200048_s_at	JTB
200049_at	MYST2
200050_at	ZNF146
200051_at	SART1
200052_s_at	ILF2
200053_at	SPAG7
200054_at	ZNF259
200055_at	TAF10
200056_s_at	C1D
200057_s_at	NONO
200058_s_at	ASCC3L1
200059_s_at	RHOA
200060_s_at	RNPS1
200061_s_at	RPS24
200062_s_at	RPL30
200063_s_at	NPM1
200064_at	HSP90AB1
200065_s_at	ARF1
200066_at	IK
200067_x_at	
200068_s_at	CANX
200069_at	SART3
200070_at	C2orf24
200071_at	SMNDC1
200072_s_at	HNRPM
200073_s_at	HNRPD
200074_s_at	RPL14
200075_s_at	GUK1
200076_s_at	C19orf50
200077_s_at	OAZ1
200078_s_at	ATP6V0B
200079_s_at	KARS
200080_s_at	LOC440926
200081_s_at	RPS6
200082_s_at	RPS7
200083_at	USP22
200084_at	C11orf58
200085_s_at	TCEB2
200086_s_at	COX4I1
200087_s_at	TMED2
200088_x_at	RPL12
200089_s_at	RPL4
200090_at	FNTA
200091_s_at	RPS25
200092_s_at	RPL37
200093_s_at	HINT1
200094_s_at	EEF2
200095_x_at	RPS10
200096_s_at	ATP6V0E1
200097_s_at	HNRPK
200098_s_at	ANAPC5
200099_s_at	LOC439992
ADXCRAG_AB000115_s_at	IFI44L
ADXCRAG_AB000449_s_at	VRK1
ADXCRAG_AB000459_s_at	C4orf8
ADXCRAG_AB000466_at	
ADXCRAG_AB000520_s_at	SH2B2
ADXCRAG_AB000616_at	MGAT4A
ADXCRAG_AB000931_at	FUT2
ADXCRAG_AB001106_s_at	GMFB
ADXCRAG_AB001451_s_at	SHC2
ADXCRAG_AB001466_s_at	EFS
ADXCRAG_AB001523_at	
ADXCRAG_AB002146_s_at	TNFRSF11B
ADXCRAG_AB002155_at	UPK1B
ADXCRAG_AB002293_at	ZNF609
ADXCRAG_AB002295_s_at	KIAA0329
ADXCRAG_AB002299_at	MDN1
ADXCRAG_AB002301_s_at	MAST4
ADXCRAG_AB002315_s_at	KIAA0317
ADXCRAG_AB002321_s_at	KIAA0323
ADXCRAG_AB002326_x_at	ALMS1
ADXCRPD.4682.C1_s_at	EPB41L1
ADXCRAG_AB002339_at	N4BP3
ADXCRAG_AB002339_x_at	N4BP3
ADXCRAG_AB002342_s_at	WNK1
ADXCRAG_AB002345_s_at	PER2
ADXCRAG_AB002351_s_at	DMN
ADXCRAG_AB002363_x_at	SFRS14
ADXCRAG_AB002370_s_at	KIAA0372
ADXCRAG_AB002377_s_at	ANKRD28
ADXCRAG_AB002384_s_at	C6orf32
ADXCRAG_AB002449_at	
ADXCRAG_AB002454_s_at	CYP4F3
ADXCRAG_AB003062_s_at	PPP1R12B
ADXCRAG_AB003103_s_at	PSMD12
ADXCRAG_AB004066_at	BHLHB2
ADXCRAG_AB004066_x_at	BHLHB2
ADXCRAG_AB004885_s_at	TLK1
ADXCRAG_AB005289_s_at	ABCB7
ADXCRPD.5783.C1_s_at	POLS
ADXCRAG_AB006190_at	AQP7
ADXCRAD_BX509800_s_at	PCDH7
ADXCRAG_AB006757_at	PCDH7
ADXCRAG_AB006757_s_at	PCDH7
ADXCRAG_AB006965_s_at	DNM1L
ADXCRAG_AB007857_s_at	SGSM2
