Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
GSM971957	0.0024343642401953	0	0.034894150083302	0.043737877354384	0	0.091338655044017	0.13527868604001	0	0.11199767778811	0.032933179092904	0.0018486420027204	0.032118137005191	0.055397743008807	0.062991921314493	0.035358766523947	0.094363904399811	0.046323727639645	0.039748359993569	0	0.0059199479333936	0.091821620768766	0.081492639766727	0.001	0.2627116655437053	0.9726338325944277
GSM971958	0.0017951336031978	0	0.08125985615648	0.045317764599729	0.0019084057674531	0.12191151487275	0.010784085496898	0	0	0.053798601006724	0.055911778133502	0	0.077780462513332	0.056803723868637	0.0094614496703419	0.17520321831422	0.065162087842291	0.016004078719965	0.10102478516735	0	0.011108085889394	0.11476496837774	0	0.36986743787762305	0.9285245205824866
GSM971959	0.17420237445531	0	0.013181301214034	0	0	0.22913272514158	0	0.029339074829265	0.048819000739645	0	0	0	0.080471760108786	0	0	0.012954281272633	0.013752340887602	0	0	0.36201955163797	0.021635291899775	0.014492297813406	0.864	0.005789884867096712	1.1308429034108471
GSM971960	0.17313278176296	0	0.081772246597787	0	0	0.35101020832522	0	0	0.0065977033336649	0	0.043959480938766	0	0.0091237666054141	0	0	0.1300502716503	0	0.046265768699155	0.093505829931591	0	0.064581942155134	0	0.001	0.241060560293474	0.9882681037736776
GSM971961	0	0.022342080957358	0.072219886670232	0	0	0.12783336546656	0	0.0015837657476724	0.0081646620857574	0.054989451380569	0	0	0.17725668198867	0.16134245394802	0.03320563037027	0.2760257499394	0	0.0015836772335119	0.035460885963576	0.0016020469691529	0	0.026389661279251	0	0.403769393238866	0.915210983174068
GSM971962	0.045195827594713	0.03185627870556	0.022132426579203	0	0	0.21759384918092	0.024635413181044	0	0.038091562861898	0.011819090828136	0.036395542580985	0	0.11465995918723	0.002930711191305	0.046744554162077	0.14112940112955	0.091828510220138	0.029175037105935	0.037161064716814	0	0.10225711357829	0.0063936571961984	0	0.4003950461518266	0.9161412477434369
GSM971963	0.07447500116523	0	0.017828037694514	0.19831413347114	0	0	0.016358936722631	0.10937221749911	0.0087280743126904	0	0.06002639233947	0.031467959769006	0.020274494539538	0	0.059842024235622	0.14607421335038	0.091945428508164	0.0083932991145751	0.088157472173987	0	0.043522932198214	0.025219382905729	0	0.4009477744635275	0.9152209000605737
GSM971964	0.072466360317472	0	0.097613557483426	0	0	0.28799962557902	0.0092085301582219	0.051171920820582	0	0.11709124516858	0	0	0	0	0	0.07949429605619	0.0078776460422697	0.056650481808142	0.039058343538109	0.047656492599105	0.13371150042888	0	0.004	0.1906581625198318	1.0084635279171268
GSM971965	0.039103300212243	0	0.044903514460257	0	0.002005452669323	0.39809561499262	0	0	0.0091700922634412	0	0.089111333324579	0	0.050236458285963	0	0	0.13468715938095	0.05125876221744	0.024354753933582	0.099900012901783	0	0.057173545357824	0	0.121	0.10556346728550717	1.037153136977708
GSM971966	0	0.058581842023197	0	0	0	0.16326489420494	0	0	0	0.13873871843088	0	0	0	0.036071659164929	0	0.20201167658598	0	0.15153098764338	0.028598926849331	0.065845859623696	0	0.15535543547367	0.003	0.1943744208725285	1.0073080784882753
GSM971967	0	0	0	0	0.093129021526948	0.40551950253546	0	0	0	0	0.074958778962288	0	0.061273025969362	0	0	0.017632183996972	0	0.0077159906140003	0	0.21443784294204	0.053906563450877	0.071427090002056	0.989	-0.0401	1.1350551063591223
GSM971968	0	0.0020897285629418	0.0061866995022487	0	0	0.1025619453115	0	0	0.087974025685972	0.087110290986165	0	0.024623393072566	0.11864256163607	0.027236843562579	0.0036358173006302	0.13487623093287	0.18235386616049	0.037634127974649	0.11759343733033	0	0.060899822961315	0.0065812090196864	0	0.3360700429350135	0.9425403076030204
GSM971969	0.043907623392951	0.094186385198791	0.0018961508851113	0.12491090710178	0	0	0.0036559010826306	0.13365886390957	0.020042475058925	0.028010557992549	0.010533749753676	0.026829932076351	0.0068967770043088	0	0.060811973064182	0.16800503790667	0.087024604475444	0.0271716425182	0.095783233450973	0	0.060289625574646	0.0063845595532378	0	0.3877006610648106	0.9209025960723745
GSM971970	0.11044702531989	0	0	0.011249813332454	0	0.24291069285106	0	0.036067468545453	0	0	0.086484448524467	0	0.074187608244706	0	0	0.17328300810905	0	0.034967486370976	0	0.15058332136773	0.001748926518198	0.078070200816015	0.998	-0.0799	1.1108263897100417
GSM971971	0	0	0.037476134101157	0.22869187820453	0	0	0.058077234432993	0.040340070762657	0.06045526812905	0.032252490864374	0.029364231818665	0	0.042348183351529	0	0.069871142258496	0.084754638835829	0.16068430573485	0.03661381557516	0	0	0.11907060593071	0	0	0.43909688551254544	0.8979733393700412
GSM971972	0.0094789501485605	0	0.065189140187084	0.21001086090793	0	0.029338893908444	0.042292578766471	0.120855625915	0.013856789984611	0	0.060791228962996	0.053730542515759	0	0	0.054895705697692	0.12043018989107	0.10137468403459	0	0.11775480907979	0	0	0	0.02	0.14595965282504	1.0265698688092877
GSM971973	0	0.12516404155493	0	0	0.027386210145373	0	0	0.27916302268216	0	0.014678030173505	0.016537631232932	0.05784917997497	0	0	0.035927356302182	0.14157132302543	0.055769215427202	0	0	0.086316075976067	0	0.15963791350524	0.978	-0.0348	1.1034770128973888
GSM971974	0.10537894231239	0	0.082054873212013	0	0.048518562844072	0.34223804391158	0.02733834620198	0	0.12555633585419	0	0.10932411228367	0	0.062296718380953	0.022866752053806	0	0	0.0012230630753635	0	0	0.059748872453898	0.01345537741609	0	0.15	0.10096943990156397	1.069802178700647
GSM971975	0	0.036762846292436	0.089963678669743	0	0.013207570387202	0.2068397332038	0.14288213823613	0.0053735537850437	0	0	0.088785004670905	0	0	0.029361623293937	0	0.020925986347408	0	0.0088539417561693	0	0.16391892119193	0.015492764227935	0.17763223793736	0.03	0.14032320206308724	1.036762668037837
GSM971976	0	0.03053470500638	0	0	0.32820024569024	0	0.28654795230043	0	0	0	0	0	0.20280829835315	0	0	0	0	0.032334662417721	0	0.11957413623208	0	0	1.0	-0.1246	1.1407081298166835
GSM971977	0.060497559937416	0	0.041630329806365	0	0	0.070390606813013	0.068972651627395	0.0075727203905925	0.11029261663914	0.02057880374202	0	0	0.052943886968819	0	0.058263256793075	0.16126520489497	0.088625475689805	0.012466204148884	0.075461026743432	0	0.070426638490481	0.10061301731459	0	0.39841667003905334	0.9166104980738845
GSM971978	0.034475523647921	0	0.019241910710076	0.1841495449526	0	0	0.055829891689697	0.088334791409057	0.025682073980537	0	0	0.088636008671866	0	0	0.076006806554708	0.14732680841593	0.075659734478098	0.037117468806723	0.13377812868585	0	0.015148070689331	0.018613237307617	0.001	0.3026270594261438	0.95808657001731
GSM971979	0	0	0	0	0	0.28964084261044	0	0	0	0	0.11721416430292	0	0.057965719807017	0.013876880669704	0	0.021711689093677	0.02710984468984	0.089988477512858	0	0.14919273142678	0.077700065001726	0.15559958488503	0.001	0.247239652507588	0.9904415680627735
GSM971980	0.089734961749168	0	0.038815263873494	0	0	0.11985856618294	0.079404751093745	0.04029670041116	0	0.10608082393749	0.045127390904691	0	0	0	0.030027846346724	0.11446556614341	0.027767936530442	0.090210220477309	0.049895919960548	0	0.077978202038625	0.090335850350257	0.001	0.29176425879659135	0.9603784074202998
GSM971981	0	0.022867341453917	0.048764669110864	0.16964977730258	0	0.015710209262283	0.095012793777207	0.023471249609278	0.049233937422174	0.086991900118336	0	0.022558184900174	0	0	0.042619264307789	0.25406307723257	0	0.0029933276853774	0.10956354094503	0	0.0065743074675043	0.049926419404921	0	0.3495758436180174	0.9375436507365225
GSM971982	0	0	0.031554044689907	0	0.019135306386034	0	0.015594915178221	0	0.086060704090088	0.073606744760989	0.067299506156537	0.0055304370570404	0.0097443701298941	0.012813745657404	0.068008365875481	0.24265283373693	0.016741206769173	0.088802455640681	0.10530691756132	0	0.020548893060268	0.13659955325003	0	0.41864044648781257	0.9073195626630998
GSM971983	0.03218521063222	0.032730776964318	0	0.021454244235963	0	0.1255387943599	0.065865276601861	0.099496022942808	0.027997973241492	0.014011045207648	0.0084059712123295	0.021737713394786	0	0.020787772068206	0.060369193616126	0.12851375680852	0.062517077108362	0.033024076867928	0.042407647699648	0	0.094884940812502	0.10807250622538	0	0.4691569733213577	0.8851408510111604
GSM971984	0	0	0.079339150188906	0.021452977175894	0	0	0.11372919468956	0.011214712355303	0.13111682431136	0.17392952378246	0.013428966119474	0	0.082711283558604	0.050455699248457	0.064897281786564	0.17408914923734	0.0009	0.0022568262946084	0.024876168733279	0	0.05565123169331	0	0	0.37914858327461576	0.9248370506212267
GSM971985	0.0026345508617941	0	0.1343068019809	0	0	0.50720321339088	0	0	0.091863528743926	0.045651976664256	0.0056981905866016	0	0	0	0	0.053323724549568	0.064030304920062	0.0018570103933003	0.023765059448015	0.036781071353372	0.032884567107322	0	0.001	0.27052072761832924	0.9904963822287566
GSM971986	0.035133030818138	0	0.029927027958341	0.17869255766851	0	0.045299372718427	0.021618034313451	0.10017967996761	0.075557022252389	0	0.050307164307241	0	0.13228706039208	0	0.061081914521156	0.047583149059408	0.0439459669436	0.022614877623358	0.15534808132488	0.0004	0	0	0.05	0.130626966907403	1.0288312581236858
GSM971987	0.027124143159021	0.068305590034739	0	0	0	0.22699190023237	0	0	0	0.091123882930141	0.0092327411378041	0	0	0	0	0.14539604962667	0.080911082468093	0.027035734887036	0.22205013060508	0	0.10182874491904	0	0	0.3667521166021479	0.9302550636194382
GSM971988	0	0.35963165150563	0	0	0.21882389361179	0.019905323751522	0	0	0.027975691937982	0.014508721053783	0.02434917897668	0	0.13092868074302	0	0.015509243725386	0	0	0.096612698506611	0.073557834000234	0.01819708218736	0	0	0.953	-0.0209	1.1103682978532015
GSM971989	0.10347984234546	0	0.090548010456961	0	0	0.48504833091646	0	0	0	0.12367809078148	0.012371478668503	0	0	0	0	0	0.059053333934844	0.0006	0	0.0755568415648	0.049637048432092	0	0.457	0.059385122082363156	1.0899134813897038
GSM971990	0	0.10083104192717	0.061663005139881	0	0	0.18185880355496	0.0006	0.0007	0.023804856969602	0.067038135604406	0.016352743416433	0.022165762567082	0	0	0.054939874536237	0.052107454297297	0.16587920092533	0	0.13487111873779	0	0.076406024112145	0.040810188248771	0.001	0.31190668331245874	0.9515587101755663
GSM971991	0	0	0.10326669552715	0	0	0.18549506899336	0.16432303159869	0.08375585261217	0	0.083743016582235	0.011092492643876	0	0	0.15092307164845	0.075905491691716	0.01431111087902	0	0	0	0	0.055329896911687	0.071854270911647	0.001	0.3009565255236072	0.960493404717163
GSM971992	0	0.030975286681311	0.11524135147077	0	0.088730729186924	0.16235157121515	0.1136165579665	0	0.02235078352122	0.059554394724476	0.036032854936727	0	0	0	0.03397928961814	0.17358330845862	0	0.030316126886487	0	0.021285709582704	0.052120619748577	0.05986141600239	0.003	0.19651939780543629	1.0004178610023537
