CMS1_Pval	CMS2_Pval	CMS3_Pval	CMS4_Pval	CMS	min_Pval	classifier
amc_ajccii.col001	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col002	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col003	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
amc_ajccii.col004	3.37826424782947e-06	1	1	1	CMS1	3.37826424782947e-06	CMS1
amc_ajccii.col005	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col006	0.816681869	0.007945678	1	1	CMS2	0.007945678	CMS2
amc_ajccii.col007	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col008	3.37826424782947e-06	1	1	1	CMS1	3.37826424782947e-06	CMS1
amc_ajccii.col009	3.37826424782947e-06	1	1	1	CMS1	3.37826424782947e-06	CMS1
amc_ajccii.col010	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
amc_ajccii.col011	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col012	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
amc_ajccii.col013	3.37826424782947e-06	1	1	1	CMS1	3.37826424782947e-06	CMS1
amc_ajccii.col014	1	0.937285903	1	0.003689065	CMS4	0.003689065	CMS4
amc_ajccii.col015	0.816681869	0.007945678	1	1	CMS2	0.007945678	CMS2
amc_ajccii.col016	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
amc_ajccii.col017	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col018	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
amc_ajccii.col019	0.816681869	0.937285903	0.000854701	1	CMS3	0.000854701	CMS3
amc_ajccii.col020	0.00042904	1	1	0.908340934	CMS1	0.00042904	CMS1
amc_ajccii.col021	0.404216074	0.937285903	0.024786325	1	CMS3	0.024786325	CMS3
amc_ajccii.col022	1	0.67678119	0.000854701	1	CMS3	0.000854701	CMS3
amc_ajccii.col023	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col024	0.00042904	0.937285903	1	1	CMS1	0.00042904	CMS1
amc_ajccii.col026	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
amc_ajccii.col033	1	0.073071856	0.204273504	1	NA	0.073071856	CMS3
amc_ajccii.col034	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col035	3.37826424782947e-06	1	1	1	CMS1	3.37826424782947e-06	CMS1
amc_ajccii.col036	0.816681869	1	1	0.003689065	CMS4	0.003689065	CMS4
amc_ajccii.col037	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
amc_ajccii.col038	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col039	1	0.073071856	0.204273504	1	NA	0.073071856	CMS3
amc_ajccii.col040	3.37826424782947e-06	1	1	1	CMS1	3.37826424782947e-06	CMS1
amc_ajccii.col041	1	0.000283774	1	1	CMS2	0.000283774	NOLBL
amc_ajccii.col044	0.100932401	0.937285903	0.204273504	1	NA	0.100932401	NOLBL
amc_ajccii.col045	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
amc_ajccii.col046	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col047	1	0.000283774	1	1	CMS2	0.000283774	NOLBL
amc_ajccii.col048	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col049	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col050	1	0.937285903	1	0.003689065	CMS4	0.003689065	CMS4
amc_ajccii.col051	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col052	0.100932401	1	1	0.227445019	NA	0.100932401	CMS4
amc_ajccii.col053	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
amc_ajccii.col054	1	1	0.024786325	0.227445019	CMS3	0.024786325	CMS3
amc_ajccii.col055	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col056	1	0.073071856	1	0.594081281	NA	0.073071856	NOLBL
amc_ajccii.col057	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col058	0.00042904	1	1	0.908340934	CMS1	0.00042904	CMS1
amc_ajccii.col059	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
amc_ajccii.col060	3.37826424782947e-06	1	1	1	CMS1	3.37826424782947e-06	CMS1
amc_ajccii.col061	0.100932401	1	1	0.227445019	NA	0.100932401	CMS4
amc_ajccii.col062	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
amc_ajccii.col063	0.816681869	0.3046316	0.204273504	1	NA	0.204273504	NOLBL
amc_ajccii.col064	0.816681869	1	1	0.003689065	CMS4	0.003689065	CMS4
amc_ajccii.col065	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col066	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
amc_ajccii.col067	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
amc_ajccii.col068	0.816681869	0.937285903	0.000854701	1	CMS3	0.000854701	CMS3
amc_ajccii.col069	1	1	0.204273504	0.044126888	CMS4	0.044126888	NOLBL
amc_ajccii.col070	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col072	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
amc_ajccii.col073	0.816681869	0.937285903	0.024786325	0.908340934	CMS3	0.024786325	CMS3
